"","year","LandSupply","LCT","Mha","GtCO2","CDR","sector","method","LandEndYear"
"49",2050,"2C Main","50%-LCP",212.235763786755,-1.15987171342211,-5.46501538066645,"BothLandbased","Method1",392.168359103323
"50",2050,"2C Main","100%-LCP",256.339567182256,-2.87040035062207,-11.197648424604,"BothLandbased","Method1",432.002616069246
"51",2050,"A/R-Focused","50%-LCP",371.362593580849,-1.0261542912396,-2.76321392885843,"BothLandbased","Method1",649.296131504081
"52",2050,"A/R-Focused","100%-LCP",515.462153904915,-2.67290643930844,-5.1854562339052,"BothLandbased","Method1",839.033293381789
"53",2050,"Low-Bioenergy","50%-LCP",195.162731397711,-2.19138021615381,-11.2284768739382,"BothLandbased","Method1",293.697268469654
"54",2050,"Low-Bioenergy","100%-LCP",247.789457280333,-3.77443722470536,-15.232436707084,"BothLandbased","Method1",357.554540941823
"55",2050,"1.5C","50%-LCP",298.265281851645,-2.84065225322373,-9.52391185319602,"BothLandbased","Method1",543.283150495673
"56",2050,"1.5C","100%-LCP",340.876536624181,-4.70345308431484,-13.7981133312805,"BothLandbased","Method1",585.527575910079
"57",2100,"2C Main","50%-LCP",452.421514434315,-3.85101660307266,-8.51201032711226,"BothLandbased","Method1",770.993106380939
"58",2100,"2C Main","100%-LCP",483.798051553561,-4.51936269083865,-9.3414239191873,"BothLandbased","Method1",786.148186924519
"59",2100,"A/R-Focused","50%-LCP",783.255229973147,-4.43942836882422,-5.66792049250206,"BothLandbased","Method1",1346.60545278019
"60",2100,"A/R-Focused","100%-LCP",992.556925882129,-5.49219084765248,-5.53337617665741,"BothLandbased","Method1",1676.134163115
"61",2100,"Low-Bioenergy","50%-LCP",309.836536020558,-2.95883007905569,-9.54964871818527,"BothLandbased","Method1",471.008013085551
"62",2100,"Low-Bioenergy","100%-LCP",366.384541704238,-3.6837571658911,-10.054346585574,"BothLandbased","Method1",516.366692797073
"63",2100,"1.5C","50%-LCP",516.066612555876,-5.4259803886499,-10.5141085600891,"BothLandbased","Method1",730.544604317487
"64",2100,"1.5C","100%-LCP",551.601520664915,-5.94401295961088,-10.7759183702863,"BothLandbased","Method1",746.517404312838
"65",2050,"2C Main","50%-LCP",130.838167716607,-0.312801489940577,-2.39075107363243,"Land-based BECCS","Method1",301.612236264623
"66",2050,"2C Main","50%-LCP",81.3975960701484,-0.84707022348153,-10.4065754319271,"LULUCF","Method1",90.5561228387005
"67",2050,"2C Main","100%-LCP",113.471670806791,-0.248778760040943,-2.19243057119111,"Land-based BECCS","Method1",255.028148305945
"68",2050,"2C Main","100%-LCP",142.867896375465,-2.62162159058113,-18.3499698469092,"LULUCF","Method1",176.9744677633
"69",2050,"A/R-Focused","50%-LCP",135.49628328513,-0.290635782457817,-2.14497235947219,"Land-based BECCS","Method1",312.301180822481
"70",2050,"A/R-Focused","50%-LCP",235.866310295719,-0.735518508781779,-3.11837035081278,"LULUCF","Method1",336.9949506816
"71",2050,"A/R-Focused","100%-LCP",120.75516620093,-0.220247285112617,-1.82391604468613,"Land-based BECCS","Method1",270.834270025789
"72",2050,"A/R-Focused","100%-LCP",394.706987703984,-2.45265915419582,-6.21387315300135,"LULUCF","Method1",568.199023356
