#342554FF
#5B8872FF
#260623FF
#5073D3FF
#70E22EFF
#026DEFFF
#1B0B09FF
#251E24FF
#52471BFF
#830BDDFF
#1D1D1DFF
#4B4A74FF
#0F4A63FF
#8B96AAFF
#226B5DFF
#442E7BFF
#1F5841FF
#709E15FF
#6B3936FF
#888C83FF
#020102FF
#1F1C36FF
#1A061FFF
#F5259DFF
#C0BBABFF
#35C9A0FF
#7E262DFF
#624FD0FF
#37D3C0FF
#D7C81FFF
#8A1924FF
#AE39BDFF
