#E2A9E9FF
#49EEDEFF
#776A6AFF
#A1634FFF
#947929FF
#9F8A00FF
#0A26C3FF
#42471BFF
#2C3032FF
#5F4CD0FF
#3E7873FF
#151B14FF
#0C0C0CFF
#90795CFF
#526270FF
#1E2629FF
#785D79FF
#9562AEFF
#A58684FF
#628075FF
#1F291DFF
#4F1164FF
#312E45FF
#A3C79EFF
#6DA398FF
#0D060FFF
#06E1A6FF
#C7B39AFF
#6F6353FF
#6E250EFF
#3D5041FF
#2D9775FF
