pathway,model,scenario,year,CarbonBudget_CB_GtCO2,variable,unit
AIM/CGE 2.0.SSP1-26,AIM/CGE 2.0,SSP1-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.0.SSP4-26,AIM/CGE 2.0,SSP4-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CD-LINKS_NDC2030i_1000,AIM/CGE 2.1,CD-LINKS_NDC2030i_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CD-LINKS_NPi2020_1000,AIM/CGE 2.1,CD-LINKS_NPi2020_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.1.CO_Bridge,AIM/CGE 2.1,CO_Bridge,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1000f,AIM/CGE 2.2,EN_INDCi2030_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1200,AIM/CGE 2.2,EN_INDCi2030_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1200f,AIM/CGE 2.2,EN_INDCi2030_1200f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1400,AIM/CGE 2.2,EN_INDCi2030_1400,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_1400f,AIM/CGE 2.2,EN_INDCi2030_1400f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_800f,AIM/CGE 2.2,EN_INDCi2030_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_INDCi2030_900f,AIM/CGE 2.2,EN_INDCi2030_900f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1000,AIM/CGE 2.2,EN_NPi2020_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1000f,AIM/CGE 2.2,EN_NPi2020_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1200,AIM/CGE 2.2,EN_NPi2020_1200,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1200f,AIM/CGE 2.2,EN_NPi2020_1200f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1400,AIM/CGE 2.2,EN_NPi2020_1400,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_1400f,AIM/CGE 2.2,EN_NPi2020_1400f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_300f,AIM/CGE 2.2,EN_NPi2020_300f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_400f,AIM/CGE 2.2,EN_NPi2020_400f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_500f,AIM/CGE 2.2,EN_NPi2020_500f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_600,AIM/CGE 2.2,EN_NPi2020_600,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_600f,AIM/CGE 2.2,EN_NPi2020_600f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_700,AIM/CGE 2.2,EN_NPi2020_700,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_700f,AIM/CGE 2.2,EN_NPi2020_700f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_800,AIM/CGE 2.2,EN_NPi2020_800,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_800f,AIM/CGE 2.2,EN_NPi2020_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_900,AIM/CGE 2.2,EN_NPi2020_900,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
AIM/CGE 2.2.EN_NPi2020_900f,AIM/CGE 2.2,EN_NPi2020_900f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.CO_2Deg2020,COFFEE 1.1,CO_2Deg2020,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.CO_2Deg2030,COFFEE 1.1,CO_2Deg2030,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.CO_Bridge,COFFEE 1.1,CO_Bridge,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_1000,COFFEE 1.1,EN_INDCi2030_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_1000_NDCp,COFFEE 1.1,EN_INDCi2030_1000_NDCp,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_1200,COFFEE 1.1,EN_INDCi2030_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_400f,COFFEE 1.1,EN_INDCi2030_400f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_500,COFFEE 1.1,EN_INDCi2030_500,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_500f,COFFEE 1.1,EN_INDCi2030_500f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_600,COFFEE 1.1,EN_INDCi2030_600,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_600_NDCp,COFFEE 1.1,EN_INDCi2030_600_NDCp,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_600f,COFFEE 1.1,EN_INDCi2030_600f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_700,COFFEE 1.1,EN_INDCi2030_700,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_700f,COFFEE 1.1,EN_INDCi2030_700f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_800,COFFEE 1.1,EN_INDCi2030_800,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_800f,COFFEE 1.1,EN_INDCi2030_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_900,COFFEE 1.1,EN_INDCi2030_900,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_INDCi2030_900f,COFFEE 1.1,EN_INDCi2030_900f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_1000,COFFEE 1.1,EN_NPi2020_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_1200,COFFEE 1.1,EN_NPi2020_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_400,COFFEE 1.1,EN_NPi2020_400,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_400_lowBECCS,COFFEE 1.1,EN_NPi2020_400_lowBECCS,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_400f,COFFEE 1.1,EN_NPi2020_400f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_400f_lowBECCS,COFFEE 1.1,EN_NPi2020_400f_lowBECCS,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_500,COFFEE 1.1,EN_NPi2020_500,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_500f,COFFEE 1.1,EN_NPi2020_500f,2025,"(175,500]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_600,COFFEE 1.1,EN_NPi2020_600,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_600f,COFFEE 1.1,EN_NPi2020_600f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_700,COFFEE 1.1,EN_NPi2020_700,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_700f,COFFEE 1.1,EN_NPi2020_700f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_800,COFFEE 1.1,EN_NPi2020_800,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_800f,COFFEE 1.1,EN_NPi2020_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_900,COFFEE 1.1,EN_NPi2020_900,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
COFFEE 1.1.EN_NPi2020_900f,COFFEE 1.1,EN_NPi2020_900f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
EPPA 6.Paris2C_OptTax,EPPA 6,Paris2C_OptTax,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
GCAM 4.2.SSP1-19,GCAM 4.2,SSP1-19,2025,"(175,500]",Price|Carbon,US$2010/t CO2
"GCAM 5.2.NGFS1_Immediate 2C with CDR (Orderly, Rep)",GCAM 5.2,"NGFS1_Immediate 2C with CDR (Orderly, Rep)",2025,"(175,500]",Price|Carbon,US$2010/t CO2
GCAM 5.3.NGFS2_Below 2°C,GCAM 5.3,NGFS2_Below 2°C,2025,"(500,825]",Price|Carbon,US$2010/t CO2
GCAM 5.3.NGFS2_Delayed Transition,GCAM 5.3,NGFS2_Delayed Transition,2025,"(500,825]",Price|Carbon,US$2010/t CO2
GCAM 5.3.NGFS2_Net-Zero 2050,GCAM 5.3,NGFS2_Net-Zero 2050,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.CO_2Deg2020,IMAGE 3.0,CO_2Deg2020,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.CO_2Deg2030,IMAGE 3.0,CO_2Deg2030,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.CO_Bridge,IMAGE 3.0,CO_Bridge,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_INDCi2030_1000,IMAGE 3.0,EN_INDCi2030_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_INDCi2030_1000f,IMAGE 3.0,EN_INDCi2030_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_INDCi2030_1200,IMAGE 3.0,EN_INDCi2030_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_INDCi2030_1200f,IMAGE 3.0,EN_INDCi2030_1200f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_INDCi2030_800f,IMAGE 3.0,EN_INDCi2030_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1000,IMAGE 3.0,EN_NPi2020_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1000f,IMAGE 3.0,EN_NPi2020_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1200,IMAGE 3.0,EN_NPi2020_1200,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1200f,IMAGE 3.0,EN_NPi2020_1200f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1400,IMAGE 3.0,EN_NPi2020_1400,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_1400f,IMAGE 3.0,EN_NPi2020_1400f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_600f,IMAGE 3.0,EN_NPi2020_600f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_800,IMAGE 3.0,EN_NPi2020_800,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.EN_NPi2020_800f,IMAGE 3.0,EN_NPi2020_800f,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.CD-LINKS_INDC2030i_1600,IMAGE 3.0.1,CD-LINKS_INDC2030i_1600,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.CD-LINKS_NDC2030i_1000,IMAGE 3.0.1,CD-LINKS_NDC2030i_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.CD-LINKS_NPi2020_1000,IMAGE 3.0.1,CD-LINKS_NPi2020_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.CD-LINKS_NPi2020_1600,IMAGE 3.0.1,CD-LINKS_NPi2020_1600,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.EMF30_ClimPolicy,IMAGE 3.0.1,EMF30_ClimPolicy,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.EMF30_ClimPolicy+SLCF,IMAGE 3.0.1,EMF30_ClimPolicy+SLCF,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.SSP1-26,IMAGE 3.0.1,SSP1-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.SSP2-26,IMAGE 3.0.1,SSP2-26,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.1.SSP4-26,IMAGE 3.0.1,SSP4-26,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.2.EMF33_WB2C_cost100,IMAGE 3.0.2,EMF33_WB2C_cost100,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.2.EMF33_WB2C_full,IMAGE 3.0.2,EMF33_WB2C_full,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.2.EMF33_WB2C_limbio,IMAGE 3.0.2,EMF33_WB2C_limbio,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.2.EMF33_WB2C_nobeccs,IMAGE 3.0.2,EMF33_WB2C_nobeccs,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.0.2.EMF33_WB2C_nofuel,IMAGE 3.0.2,EMF33_WB2C_nofuel,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_D,IMAGE 3.2,SSP1_SPA1_19I_D,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_D_LB,IMAGE 3.2,SSP1_SPA1_19I_D_LB,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_LI,IMAGE 3.2,SSP1_SPA1_19I_LI,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_LIRE,IMAGE 3.2,SSP1_SPA1_19I_LIRE,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_RE,IMAGE 3.2,SSP1_SPA1_19I_RE,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_19I_RE_LB,IMAGE 3.2,SSP1_SPA1_19I_RE_LB,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_26I_D,IMAGE 3.2,SSP1_SPA1_26I_D,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_26I_LI,IMAGE 3.2,SSP1_SPA1_26I_LI,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_26I_LIRE,IMAGE 3.2,SSP1_SPA1_26I_LIRE,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP1_SPA1_26I_RE,IMAGE 3.2,SSP1_SPA1_26I_RE,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA0_26I_D,IMAGE 3.2,SSP2_SPA0_26I_D,2025,"(500,825]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA1_19I_D_LB,IMAGE 3.2,SSP2_SPA1_19I_D_LB,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA1_19I_RE_LB,IMAGE 3.2,SSP2_SPA1_19I_RE_LB,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_19I_LI,IMAGE 3.2,SSP2_SPA2_19I_LI,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_19I_LIRE,IMAGE 3.2,SSP2_SPA2_19I_LIRE,2025,"(175,500]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_26I_D,IMAGE 3.2,SSP2_SPA2_26I_D,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_26I_LI,IMAGE 3.2,SSP2_SPA2_26I_LI,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_26I_LIRE,IMAGE 3.2,SSP2_SPA2_26I_LIRE,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
IMAGE 3.2.SSP2_SPA2_26I_RE,IMAGE 3.2,SSP2_SPA2_26I_RE,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MERGE-ETL 6.0.DAC2_66,MERGE-ETL 6.0,DAC2_66,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.ADVANCE_2020_Med2C,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_Med2C,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.ADVANCE_2020_WB2C,MESSAGE-GLOBIOM 1.0,ADVANCE_2020_WB2C,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.ADVANCE_2030_Med2C,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Med2C,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.ADVANCE_2030_Price1.5C,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_Price1.5C,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.ADVANCE_2030_WB2C,MESSAGE-GLOBIOM 1.0,ADVANCE_2030_WB2C,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF30_Slower-to-faster,MESSAGE-GLOBIOM 1.0,EMF30_Slower-to-faster,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_cost100,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_full,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_full,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_limbio,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_limbio,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_nobeccs,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nobeccs,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_nofuel,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_nofuel,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_Med2C_none,MESSAGE-GLOBIOM 1.0,EMF33_Med2C_none,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_WB2C_cost100,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_cost100,2025,"(175,500]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_WB2C_full,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_full,2025,"(175,500]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_WB2C_limbio,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_limbio,2025,"(175,500]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_WB2C_nofuel,MESSAGE-GLOBIOM 1.0,EMF33_WB2C_nofuel,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_tax_hi_full,MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_full,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.EMF33_tax_hi_none,MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.SSP1-26,MESSAGE-GLOBIOM 1.0,SSP1-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.SSP2-19,MESSAGE-GLOBIOM 1.0,SSP2-19,2025,"(175,500]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.SSP2-26,MESSAGE-GLOBIOM 1.0,SSP2-26,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGE-GLOBIOM 1.0.SSP3-34,MESSAGE-GLOBIOM 1.0,SSP3-34,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM 1.0.CD-LINKS_INDC2030i_1600,MESSAGEix-GLOBIOM 1.0,CD-LINKS_INDC2030i_1600,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM 1.0.CD-LINKS_NDC2030i_1000,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NDC2030i_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM 1.0.CD-LINKS_NPi2020_1000,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,2025,"(500,825]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM 1.0.CD-LINKS_NPi2020_1600,MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM 1.0.LowEnergyDemand_1.3_IPCC,MESSAGEix-GLOBIOM 1.0,LowEnergyDemand_1.3_IPCC,2025,"(175,500]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000_COV,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000_COV_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_COV_NDCp,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000_NDCp,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000f,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000f_COV,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_COV_NDCp,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1000f_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1000f_NDCp,2025,"(825,1150]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200_COV,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200_COV_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_COV_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200f,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200f_COV,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_COV_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1200f_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1200f_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1400,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1400_COV,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1400_COV_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_COV_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
MESSAGEix-GLOBIOM_1.1.EN_INDCi2030_1400_NDCp,MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_1400_NDCp,2025,"(1150,1475]",Price|Carbon,US$2010/t CO2
