year,variable,sector,unit,2C Main_No-LCP,2C Main_10%-LCP,2C Main_50%-LCP,2C Main_100%-LCP,A/R-Focused_10%-LCP,A/R-Focused_50%-LCP,A/R-Focused_100%-LCP,Low-Bioenergy_No-LCP,Low-Bioenergy_10%-LCP,Low-Bioenergy_50%-LCP,Low-Bioenergy_100%-LCP,1.5C_No-LCP,1.5C_10%-LCP,1.5C_50%-LCP,1.5C_100%-LCP
2100,LandCDR,Land-based (CCS) BECCS,GtCO2 /yr,-4.405048853935681,-3.960559434022196,-3.1330347030939723,-2.6245073737140983,-4.0036456830152884,-3.2478709757243664,-2.782569810259343,-1.3356846504738968,-1.1037956557710673,-0.8772279784749758,-0.8088907830372217,-6.055068560901548,-5.546837885361502,-4.53879811661629,-3.9138890544995264
2100,LandCDR,Land-based (NonCCS) BECCS,GtCO2 /yr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2100,LandCDR,LULUCF,GtCO2 /yr,2.8099409040204053,1.5071600029766599,-0.7179818999786894,-1.8948553171245508,1.4165110699135453,-1.1915573930998495,-2.709621037393138,1.5825194919675198,-0.23496388803675752,-2.081602100580711,-2.874866382853876,2.6458733309922033,1.3051560280267187,-0.8871822720336108,-2.0301239051113575
2100,LandCDR,NonLand-based BECCS,GtCO2 /yr,-2.2408130795174506,-2.1087291332382883,-1.8990611512914,-1.79549377020682,-2.089839582788491,-1.8357133508186736,-1.7053021771722394,-1.5402961034588258,-1.5461613519847213,-1.5580519147814664,-1.5463612865518783,-3.2636867881336733,-3.130989465134874,-2.9122095707371063,-2.785308295830139
2100,BiomassEJ,MSW,EJ per yr (mean),7.511436627358872,7.512591644836456,7.5165171528958865,7.519229496767984,7.511615010508006,7.513107164414508,7.5142748612405335,7.403138595841555,7.451683491595117,7.48248196233172,7.4929881742129485,7.518912379579982,7.520871980126763,7.525615302078661,7.529465178100617
2100,BiomassEJ,Purpose-grown | CCS,EJ per yr (mean),77.59347455824945,70.76937647365634,56.94151373363342,48.02239075796366,71.57430362073423,59.124335856189376,51.06959085998644,22.756016760518516,19.1731595080962,15.542313100474782,14.45482103796612,95.62762863023325,89.24729606077095,75.0586250723906,65.52262747602273
2100,BiomassEJ,Purpose-grown | NoCCS,EJ per yr (mean),19.23678811263793,19.536012610610783,18.641453504450784,17.107899926695858,20.042192271162595,20.581480229758835,20.155906894774432,6.607867569393768,7.435228088207541,7.6249421471309375,7.37493308035347,9.743092208196744,10.483213176720474,10.463292029386984,9.623053552344983
2100,BiomassEJ,Residue,EJ per yr (mean),49.15312779909573,48.399741924347424,46.88274666866904,45.971518963809885,48.277632534810024,46.67673852234519,45.95054363902668,29.74424162710543,32.435457669902014,35.84661961088317,37.14339118445851,53.39063041137682,53.32489211015572,52.73653587262058,51.74777808773667
2100,BiomassEJ,Residue | Crop,EJ per yr (mean),39.27081736785389,38.71675697394745,37.61354276661841,36.961718489507135,38.43382435386583,36.77940289348377,35.897763113078696,20.595978918865367,23.364084415810385,26.968549125726312,28.429433621783406,43.43576891273657,43.60302250224842,43.49350688927567,42.819392453014764
2100,BiomassEJ,Residue | Forestry,EJ per yr (mean),9.882309754781481,9.682978257739506,9.269127468966667,9.00989031184074,9.843812529100001,9.89728652452716,10.052730987853087,9.136528846171604,9.071584615103705,8.878005761362964,8.714305943353335,9.95672647938889,9.722005864706173,9.242987894376544,8.928223137809876
2100,Biogenic Carbon,Purpose-grown | CCS,GtCO2 /yr,6.543716354412371,5.968217415945018,4.802067658203086,4.0498882872549355,6.036099605348587,4.986152323871971,4.30686882919219,1.9190907468037284,1.6169364518494465,1.3107350714733732,1.2190232408684762,8.064596681149672,7.526521967791684,6.329944047771608,5.52574158381125
2100,Biogenic Carbon,Purpose-grown | NoCCS,GtCO2 /yr,1.6223024641657988,1.647537063494843,1.5720959122086826,1.4427662271513506,1.6902248815347123,1.7357048327096618,1.6998148147926437,0.5572634983522079,0.6270375687721693,0.6430367877413758,0.621952689776476,0.8216674428912587,0.8840843112367601,0.8824042944783023,0.8115441829144269
2100,Biogenic Carbon,Residue & MSW | CCS,GtCO2 /yr,3.209117909616739,3.060053895438741,2.7961494068386683,2.6534633423104528,3.0371189260384774,2.7232093440580374,2.555706567364393,2.1323824615248834,2.180707743121326,2.2326807112418456,2.22687469149708,4.248674203038286,4.145750586656451,3.952193264412646,3.818611385109622
2100,Biogenic Carbon,Residue & MSW | NoCCS,GtCO2 /yr,1.569593690347599,1.6552195688957672,1.7915218421133068,1.8575897778649477,1.6677742836166765,1.8468009755253636,1.9531597928248092,1.0003799372769788,1.1831078281649317,1.4214068547659429,1.5374599677508791,0.8880305723324039,0.9855755182907058,1.1299148179869902,1.1804361303093227
2100,Land,Cropland | Energy,Mha,475.58947798198284,434.4117184165701,354.4486089911178,302.3790158501961,444.1005379994435,383.48724773895316,344.27110551011793,147.44065430980507,133.85730174782782,117.0903093075962,109.90035907154058,518.9256590459512,478.9126412488788,397.5798025126251,344.4163351834068
2100,Land,Cropland | NonEnergy,Mha,39.55085083686036,-6.292196871473234,-92.4158256023994,-141.52891219053123,11.935252724388741,-49.33111156426202,-89.2039098247661,131.33375844272584,56.55704199012707,-47.84445615025849,-105.88083405169047,35.71625505744935,-21.924463867798046,-124.0877630988733,-178.73530125152652
2100,Land,Forest | Managed,Mha,84.4970942928316,72.23258575173284,51.83922766762914,41.17639122453778,85.33465626800322,101.01665995655013,121.52712112247049,107.74245976897112,88.3343052301563,65.18855220517358,52.9475676311242,81.27672733829456,65.87476329616742,41.69727490581803,29.107062732745806
