Policy_Scenario,LCP_scenario,year,unit,Electricity,Refining,Gas & Hydrogen,Final energy,BECCS: Residue & MSW,BECCS: Purpose-grown,LULUCF
2C Main,No-LCP,2020,GtCO2 per yr,12.965866685672541,1.0624381064771633,0.11959448674958764,24.352459143165834,-1.159679015e-5,0,0.7327796069295738
2C Main,No-LCP,2025,GtCO2 per yr,11.913299890596752,1.077150667269726,0.05050086009389665,23.58897395522183,-0.014406256816313329,-0.0054116708071513375,3.0074776152469638
2C Main,No-LCP,2030,GtCO2 per yr,8.989825265447239,1.0610253799679146,0.05874759612370534,22.365536837788927,-0.10901375125351556,-0.06039969547436328,2.5083733712498835
2C Main,No-LCP,2035,GtCO2 per yr,6.121295522525324,1.0235612426053486,0.08247092735853012,20.347272817246555,-0.3455751606362663,-0.2516945385245278,2.9625961323112984
2C Main,No-LCP,2040,GtCO2 per yr,4.579338950899808,0.9952712961572466,0.11541823834201881,18.535443140645878,-0.6406309790848006,-0.6212322354678728,3.8062091416330994
2C Main,No-LCP,2045,GtCO2 per yr,3.2998409597068106,0.9288676351079033,0.18359966844286946,16.990932925406916,-1.023241591139014,-1.3417859864486685,4.990478233777136
2C Main,No-LCP,2050,GtCO2 per yr,2.6239536897919526,0.838829398455713,0.27792407694744947,15.589025695247301,-1.401415617006123,-2.1918168422632744,4.598378168261561
2C Main,No-LCP,2055,GtCO2 per yr,2.2714698610873207,0.7832239748855381,0.3991392242952826,14.553705556118906,-1.747861345306984,-2.7782334108136224,2.803959355297207
2C Main,No-LCP,2060,GtCO2 per yr,2.0558128091655288,0.7474745179345976,0.4760918236505909,13.484947419570945,-2.099902898244597,-3.3648747898253264,2.315416170619282
2C Main,No-LCP,2065,GtCO2 per yr,1.9176107506995717,0.7277485850043159,0.5333257096226648,12.14689004406118,-2.5108041020945575,-4.122452589415635,2.465054507232511
2C Main,No-LCP,2070,GtCO2 per yr,1.8626861592454067,0.7102191718887549,0.5671561851492619,10.350021542314728,-2.991649433969981,-5.7672993316584575,4.767211489700579
2C Main,No-LCP,2075,GtCO2 per yr,1.8220619131554887,0.7325021741056897,0.6068168361336324,8.616252667300765,-3.450564934370365,-7.338554734561656,3.8804299109511344
2C Main,No-LCP,2080,GtCO2 per yr,1.7998367404370774,0.7315011691708412,0.629781164818784,7.040406769795346,-3.80776105334031,-8.20822936311991,2.0203786739288114
2C Main,No-LCP,2085,GtCO2 per yr,1.7514273993739908,0.6773208001003536,0.6192968369169626,5.3624429925775985,-4.146426368022532,-8.976782173767036,1.7830447950606028
2C Main,No-LCP,2090,GtCO2 per yr,1.6740170413027409,0.5922271849585142,0.57756497182038,3.7070094299026426,-4.439931988524802,-9.640097627057992,1.559102160593791
2C Main,No-LCP,2095,GtCO2 per yr,1.5969527573088138,0.494994554536627,0.5088714657449696,2.2194257816224265,-4.670459715437261,-10.19398830337228,1.1735993764498664
